text,label
"Given patient records with heart rate and blood pressure, generate a summary of outlier detection over the last 90 days and detect anomalies related to Type 2 diabetes.",filter
"From the EMR data, identify correlations between blood pressure, creatinine, and post‑operative infection, then output insights with predicted risks.",trend
"From the EMR data, identify correlations between cholesterol, blood glucose, and hypertension, then output insights with predicted risks.",count
"Using aggregated hospital datasets, compute trend analysis for patients with COPD and compare trends between 7 days and 7 days.",filter
Analyze time‑series data for Type 2 diabetes patients by applying outlier detection and return structured results.,filter
"Retrieve all patient entries that match Type 2 diabetes, apply statistical aggregation, and format the response for downstream analytics.",compare
Analyze time‑series data for acute renal failure patients by applying statistical aggregation and return structured results.,compare
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",aggregate
"Retrieve all patient entries that match heart failure, apply trend analysis, and format the response for downstream analytics.",filter
Analyze time‑series data for Type 2 diabetes patients by applying multi‑variable comparison and return structured results.,compare
Analyze time‑series data for Type 2 diabetes patients by applying statistical aggregation and return structured results.,count
"Using aggregated hospital datasets, compute risk scoring for patients with Type 2 diabetes and compare trends between 7 days and 14 days.",aggregate
"Given patient records with blood glucose and blood glucose, generate a summary of statistical aggregation over the last 1 year and detect anomalies related to heart failure.",trend
Analyze time‑series data for post‑operative infection patients by applying statistical aggregation and return structured results.,trend
"From the EMR data, identify correlations between heart rate, heart rate, and heart failure, then output insights with predicted risks.",compare
"Given patient records with oxygen saturation and creatinine, generate a summary of outlier detection over the last 30 days and detect anomalies related to Type 2 diabetes.",filter
"From the EMR data, identify correlations between creatinine, blood pressure, and Type 2 diabetes, then output insights with predicted risks.",count
"From the EMR data, identify correlations between creatinine, heart rate, and COPD, then output insights with predicted risks.",aggregate
"Given patient records with A1C levels and heart rate, generate a summary of trend analysis over the last 1 year and detect anomalies related to Type 2 diabetes.",count
Analyze time‑series data for COPD patients by applying risk scoring and return structured results.,count
Analyze time‑series data for acute renal failure patients by applying risk scoring and return structured results.,compare
"Retrieve all patient entries that match heart failure, apply multi‑variable comparison, and format the response for downstream analytics.",compare
Analyze time‑series data for heart failure patients by applying outlier detection and return structured results.,count
"Using aggregated hospital datasets, compute statistical aggregation for patients with acute renal failure and compare trends between 14 days and 1 year.",aggregate
Analyze time‑series data for heart failure patients by applying outlier detection and return structured results.,count
"From the EMR data, identify correlations between oxygen saturation, blood pressure, and Type 2 diabetes, then output insights with predicted risks.",filter
"Retrieve all patient entries that match Type 2 diabetes, apply multi‑variable comparison, and format the response for downstream analytics.",compare
Analyze time‑series data for post‑operative infection patients by applying trend analysis and return structured results.,compare
Analyze time‑series data for hypertension patients by applying trend analysis and return structured results.,filter
"Given patient records with A1C levels and creatinine, generate a summary of multi‑variable comparison over the last 7 days and detect anomalies related to hypertension.",aggregate
"From the EMR data, identify correlations between heart rate, blood glucose, and heart failure, then output insights with predicted risks.",filter
"Given patient records with oxygen saturation and heart rate, generate a summary of multi‑variable comparison over the last 7 days and detect anomalies related to hypertension.",trend
"Using aggregated hospital datasets, compute multi‑variable comparison for patients with hypertension and compare trends between 30 days and 14 days.",filter
Analyze time‑series data for heart failure patients by applying statistical aggregation and return structured results.,filter
"From the EMR data, identify correlations between A1C levels, oxygen saturation, and hypertension, then output insights with predicted risks.",compare
"Retrieve all patient entries that match hypertension, apply outlier detection, and format the response for downstream analytics.",compare
"From the EMR data, identify correlations between oxygen saturation, blood glucose, and heart failure, then output insights with predicted risks.",filter
"Retrieve all patient entries that match acute renal failure, apply trend analysis, and format the response for downstream analytics.",aggregate
"Retrieve all patient entries that match post‑operative infection, apply risk scoring, and format the response for downstream analytics.",aggregate
"Retrieve all patient entries that match heart failure, apply risk scoring, and format the response for downstream analytics.",filter
Analyze time‑series data for acute renal failure patients by applying risk scoring and return structured results.,trend
Analyze time‑series data for post‑operative infection patients by applying multi‑variable comparison and return structured results.,trend
"From the EMR data, identify correlations between oxygen saturation, cholesterol, and COPD, then output insights with predicted risks.",count
"Using aggregated hospital datasets, compute risk scoring for patients with acute renal failure and compare trends between 30 days and 90 days.",aggregate
"Retrieve all patient entries that match COPD, apply risk scoring, and format the response for downstream analytics.",aggregate
Analyze time‑series data for COPD patients by applying trend analysis and return structured results.,filter
"Given patient records with creatinine and blood glucose, generate a summary of risk scoring over the last 6 months and detect anomalies related to Type 2 diabetes.",aggregate
"Using aggregated hospital datasets, compute trend analysis for patients with acute renal failure and compare trends between 1 year and 14 days.",compare
"Given patient records with heart rate and cholesterol, generate a summary of risk scoring over the last 90 days and detect anomalies related to heart failure.",trend
Analyze time‑series data for COPD patients by applying outlier detection and return structured results.,aggregate
"Retrieve all patient entries that match hypertension, apply trend analysis, and format the response for downstream analytics.",aggregate
"From the EMR data, identify correlations between blood glucose, A1C levels, and acute renal failure, then output insights with predicted risks.",compare
"From the EMR data, identify correlations between cholesterol, blood pressure, and heart failure, then output insights with predicted risks.",compare
Analyze time‑series data for heart failure patients by applying multi‑variable comparison and return structured results.,trend
Analyze time‑series data for acute renal failure patients by applying trend analysis and return structured results.,trend
"Given patient records with heart rate and heart rate, generate a summary of risk scoring over the last 1 year and detect anomalies related to acute renal failure.",compare
Analyze time‑series data for hypertension patients by applying trend analysis and return structured results.,count
Analyze time‑series data for Type 2 diabetes patients by applying risk scoring and return structured results.,compare
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",aggregate
Analyze time‑series data for COPD patients by applying outlier detection and return structured results.,trend
"From the EMR data, identify correlations between oxygen saturation, cholesterol, and post‑operative infection, then output insights with predicted risks.",trend
"Given patient records with creatinine and blood glucose, generate a summary of risk scoring over the last 1 year and detect anomalies related to post‑operative infection.",compare
"Using aggregated hospital datasets, compute risk scoring for patients with Type 2 diabetes and compare trends between 7 days and 6 months.",trend
"From the EMR data, identify correlations between heart rate, creatinine, and hypertension, then output insights with predicted risks.",trend
"Using aggregated hospital datasets, compute statistical aggregation for patients with COPD and compare trends between 90 days and 14 days.",filter
"Given patient records with A1C levels and A1C levels, generate a summary of multi‑variable comparison over the last 1 year and detect anomalies related to COPD.",trend
"Retrieve all patient entries that match COPD, apply outlier detection, and format the response for downstream analytics.",aggregate
"From the EMR data, identify correlations between creatinine, creatinine, and COPD, then output insights with predicted risks.",aggregate
"Given patient records with heart rate and cholesterol, generate a summary of statistical aggregation over the last 6 months and detect anomalies related to Type 2 diabetes.",filter
Analyze time‑series data for Type 2 diabetes patients by applying statistical aggregation and return structured results.,compare
"From the EMR data, identify correlations between blood glucose, blood glucose, and post‑operative infection, then output insights with predicted risks.",filter
"Given patient records with blood glucose and cholesterol, generate a summary of outlier detection over the last 1 year and detect anomalies related to acute renal failure.",filter
"Given patient records with blood glucose and cholesterol, generate a summary of risk scoring over the last 14 days and detect anomalies related to hypertension.",aggregate
"Retrieve all patient entries that match post‑operative infection, apply trend analysis, and format the response for downstream analytics.",trend
Analyze time‑series data for Type 2 diabetes patients by applying trend analysis and return structured results.,filter
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",count
Analyze time‑series data for COPD patients by applying multi‑variable comparison and return structured results.,count
"From the EMR data, identify correlations between blood pressure, blood pressure, and Type 2 diabetes, then output insights with predicted risks.",trend
"Retrieve all patient entries that match heart failure, apply multi‑variable comparison, and format the response for downstream analytics.",compare
"Retrieve all patient entries that match heart failure, apply risk scoring, and format the response for downstream analytics.",trend
"Given patient records with oxygen saturation and heart rate, generate a summary of trend analysis over the last 90 days and detect anomalies related to heart failure.",filter
"Using aggregated hospital datasets, compute trend analysis for patients with acute renal failure and compare trends between 90 days and 1 year.",aggregate
Analyze time‑series data for hypertension patients by applying trend analysis and return structured results.,aggregate
"From the EMR data, identify correlations between creatinine, blood glucose, and COPD, then output insights with predicted risks.",count
"Using aggregated hospital datasets, compute multi‑variable comparison for patients with hypertension and compare trends between 7 days and 7 days.",filter
"From the EMR data, identify correlations between heart rate, blood pressure, and post‑operative infection, then output insights with predicted risks.",trend
"From the EMR data, identify correlations between blood pressure, creatinine, and Type 2 diabetes, then output insights with predicted risks.",trend
"From the EMR data, identify correlations between A1C levels, heart rate, and Type 2 diabetes, then output insights with predicted risks.",compare
"Using aggregated hospital datasets, compute outlier detection for patients with acute renal failure and compare trends between 30 days and 14 days.",filter
"Using aggregated hospital datasets, compute trend analysis for patients with COPD and compare trends between 90 days and 7 days.",filter
Analyze time‑series data for acute renal failure patients by applying multi‑variable comparison and return structured results.,trend
Analyze time‑series data for Type 2 diabetes patients by applying multi‑variable comparison and return structured results.,trend
"Retrieve all patient entries that match acute renal failure, apply risk scoring, and format the response for downstream analytics.",trend
"Retrieve all patient entries that match Type 2 diabetes, apply multi‑variable comparison, and format the response for downstream analytics.",count
"From the EMR data, identify correlations between heart rate, oxygen saturation, and Type 2 diabetes, then output insights with predicted risks.",count
Analyze time‑series data for post‑operative infection patients by applying trend analysis and return structured results.,compare
Analyze time‑series data for acute renal failure patients by applying trend analysis and return structured results.,filter
Analyze time‑series data for heart failure patients by applying outlier detection and return structured results.,count
"Retrieve all patient entries that match COPD, apply multi‑variable comparison, and format the response for downstream analytics.",aggregate
"Given patient records with blood pressure and heart rate, generate a summary of multi‑variable comparison over the last 6 months and detect anomalies related to hypertension.",filter
"From the EMR data, identify correlations between cholesterol, oxygen saturation, and COPD, then output insights with predicted risks.",filter
Analyze time‑series data for COPD patients by applying statistical aggregation and return structured results.,filter
Analyze time‑series data for COPD patients by applying multi‑variable comparison and return structured results.,aggregate
Analyze time‑series data for heart failure patients by applying statistical aggregation and return structured results.,filter
"Using aggregated hospital datasets, compute risk scoring for patients with Type 2 diabetes and compare trends between 30 days and 1 year.",aggregate
"Given patient records with A1C levels and cholesterol, generate a summary of outlier detection over the last 14 days and detect anomalies related to post‑operative infection.",aggregate
Analyze time‑series data for acute renal failure patients by applying multi‑variable comparison and return structured results.,count
"Given patient records with heart rate and A1C levels, generate a summary of multi‑variable comparison over the last 1 year and detect anomalies related to acute renal failure.",count
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",filter
"Using aggregated hospital datasets, compute risk scoring for patients with acute renal failure and compare trends between 1 year and 90 days.",filter
"From the EMR data, identify correlations between creatinine, A1C levels, and acute renal failure, then output insights with predicted risks.",aggregate
"From the EMR data, identify correlations between oxygen saturation, oxygen saturation, and heart failure, then output insights with predicted risks.",count
"Retrieve all patient entries that match acute renal failure, apply outlier detection, and format the response for downstream analytics.",aggregate
"Using aggregated hospital datasets, compute trend analysis for patients with COPD and compare trends between 6 months and 14 days.",aggregate
"From the EMR data, identify correlations between blood glucose, blood pressure, and COPD, then output insights with predicted risks.",count
Analyze time‑series data for hypertension patients by applying trend analysis and return structured results.,count
"From the EMR data, identify correlations between oxygen saturation, oxygen saturation, and hypertension, then output insights with predicted risks.",aggregate
"Retrieve all patient entries that match hypertension, apply statistical aggregation, and format the response for downstream analytics.",compare
Analyze time‑series data for post‑operative infection patients by applying statistical aggregation and return structured results.,count
"Retrieve all patient entries that match COPD, apply trend analysis, and format the response for downstream analytics.",aggregate
"Using aggregated hospital datasets, compute trend analysis for patients with acute renal failure and compare trends between 6 months and 30 days.",aggregate
"Using aggregated hospital datasets, compute statistical aggregation for patients with COPD and compare trends between 30 days and 6 months.",trend
Analyze time‑series data for acute renal failure patients by applying risk scoring and return structured results.,trend
"Given patient records with blood glucose and blood glucose, generate a summary of trend analysis over the last 1 year and detect anomalies related to COPD.",aggregate
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",trend
"From the EMR data, identify correlations between blood pressure, blood pressure, and COPD, then output insights with predicted risks.",aggregate
"Given patient records with cholesterol and creatinine, generate a summary of risk scoring over the last 7 days and detect anomalies related to hypertension.",trend
"From the EMR data, identify correlations between oxygen saturation, A1C levels, and post‑operative infection, then output insights with predicted risks.",count
Analyze time‑series data for post‑operative infection patients by applying outlier detection and return structured results.,compare
"Retrieve all patient entries that match heart failure, apply risk scoring, and format the response for downstream analytics.",aggregate
Analyze time‑series data for acute renal failure patients by applying trend analysis and return structured results.,count
"Given patient records with A1C levels and A1C levels, generate a summary of multi‑variable comparison over the last 6 months and detect anomalies related to hypertension.",count
Analyze time‑series data for post‑operative infection patients by applying statistical aggregation and return structured results.,aggregate
"Retrieve all patient entries that match acute renal failure, apply multi‑variable comparison, and format the response for downstream analytics.",aggregate
"Given patient records with cholesterol and A1C levels, generate a summary of trend analysis over the last 14 days and detect anomalies related to hypertension.",count
Analyze time‑series data for acute renal failure patients by applying outlier detection and return structured results.,trend
"Given patient records with creatinine and heart rate, generate a summary of risk scoring over the last 7 days and detect anomalies related to hypertension.",filter
"Retrieve all patient entries that match post‑operative infection, apply statistical aggregation, and format the response for downstream analytics.",compare
Analyze time‑series data for acute renal failure patients by applying multi‑variable comparison and return structured results.,count
Analyze time‑series data for post‑operative infection patients by applying outlier detection and return structured results.,filter
"From the EMR data, identify correlations between blood glucose, oxygen saturation, and heart failure, then output insights with predicted risks.",aggregate
"From the EMR data, identify correlations between creatinine, A1C levels, and heart failure, then output insights with predicted risks.",compare
"From the EMR data, identify correlations between cholesterol, oxygen saturation, and post‑operative infection, then output insights with predicted risks.",filter
"Given patient records with cholesterol and creatinine, generate a summary of trend analysis over the last 1 year and detect anomalies related to Type 2 diabetes.",count
"Using aggregated hospital datasets, compute outlier detection for patients with Type 2 diabetes and compare trends between 7 days and 14 days.",aggregate
Analyze time‑series data for post‑operative infection patients by applying trend analysis and return structured results.,filter
"From the EMR data, identify correlations between heart rate, oxygen saturation, and hypertension, then output insights with predicted risks.",aggregate
Analyze time‑series data for acute renal failure patients by applying outlier detection and return structured results.,filter
"Using aggregated hospital datasets, compute outlier detection for patients with hypertension and compare trends between 90 days and 6 months.",filter
"Given patient records with creatinine and oxygen saturation, generate a summary of statistical aggregation over the last 14 days and detect anomalies related to Type 2 diabetes.",filter
"Retrieve all patient entries that match post‑operative infection, apply multi‑variable comparison, and format the response for downstream analytics.",compare
"From the EMR data, identify correlations between blood pressure, oxygen saturation, and COPD, then output insights with predicted risks.",filter
"Retrieve all patient entries that match COPD, apply risk scoring, and format the response for downstream analytics.",count
Analyze time‑series data for heart failure patients by applying trend analysis and return structured results.,compare
"Retrieve all patient entries that match heart failure, apply multi‑variable comparison, and format the response for downstream analytics.",filter
"Retrieve all patient entries that match heart failure, apply outlier detection, and format the response for downstream analytics.",count
"From the EMR data, identify correlations between cholesterol, creatinine, and post‑operative infection, then output insights with predicted risks.",aggregate
Analyze time‑series data for hypertension patients by applying statistical aggregation and return structured results.,compare
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",count
"Retrieve all patient entries that match hypertension, apply outlier detection, and format the response for downstream analytics.",compare
"From the EMR data, identify correlations between cholesterol, oxygen saturation, and acute renal failure, then output insights with predicted risks.",trend
"Given patient records with cholesterol and A1C levels, generate a summary of outlier detection over the last 30 days and detect anomalies related to heart failure.",compare
"Retrieve all patient entries that match heart failure, apply outlier detection, and format the response for downstream analytics.",aggregate
"From the EMR data, identify correlations between heart rate, A1C levels, and Type 2 diabetes, then output insights with predicted risks.",trend
"Given patient records with blood pressure and creatinine, generate a summary of trend analysis over the last 14 days and detect anomalies related to acute renal failure.",trend
"Given patient records with blood pressure and oxygen saturation, generate a summary of multi‑variable comparison over the last 90 days and detect anomalies related to Type 2 diabetes.",aggregate
Analyze time‑series data for COPD patients by applying risk scoring and return structured results.,aggregate
Analyze time‑series data for acute renal failure patients by applying statistical aggregation and return structured results.,trend
"Retrieve all patient entries that match hypertension, apply risk scoring, and format the response for downstream analytics.",compare
Analyze time‑series data for COPD patients by applying trend analysis and return structured results.,count
"From the EMR data, identify correlations between creatinine, cholesterol, and hypertension, then output insights with predicted risks.",aggregate
"From the EMR data, identify correlations between creatinine, blood pressure, and hypertension, then output insights with predicted risks.",count
"Retrieve all patient entries that match post‑operative infection, apply trend analysis, and format the response for downstream analytics.",aggregate
"Given patient records with heart rate and heart rate, generate a summary of risk scoring over the last 1 year and detect anomalies related to hypertension.",aggregate
Analyze time‑series data for hypertension patients by applying trend analysis and return structured results.,compare
"Given patient records with cholesterol and A1C levels, generate a summary of risk scoring over the last 1 year and detect anomalies related to acute renal failure.",filter
Analyze time‑series data for heart failure patients by applying outlier detection and return structured results.,aggregate
Analyze time‑series data for post‑operative infection patients by applying trend analysis and return structured results.,trend
"From the EMR data, identify correlations between A1C levels, oxygen saturation, and acute renal failure, then output insights with predicted risks.",count
"Retrieve all patient entries that match heart failure, apply multi‑variable comparison, and format the response for downstream analytics.",count
Analyze time‑series data for acute renal failure patients by applying multi‑variable comparison and return structured results.,aggregate
"Given patient records with blood pressure and cholesterol, generate a summary of statistical aggregation over the last 30 days and detect anomalies related to post‑operative infection.",aggregate
"From the EMR data, identify correlations between blood glucose, heart rate, and COPD, then output insights with predicted risks.",compare
"Given patient records with creatinine and heart rate, generate a summary of risk scoring over the last 14 days and detect anomalies related to Type 2 diabetes.",compare
Analyze time‑series data for hypertension patients by applying trend analysis and return structured results.,count
"From the EMR data, identify correlations between A1C levels, heart rate, and post‑operative infection, then output insights with predicted risks.",filter
